基因	变异分类	肿瘤类型		变异等级	证据类型	靶向药物	临床意义类别	临床意义描述
BRCA2	BRCA Mutation	前列腺癌		I	治疗	奥拉帕利、rucaparib	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。NCCN前列腺癌指南提示，Rucaparib是携带BRCA1或BRCA2致病突变(胚系和/或体细胞)mCRPC患者的一种治疗选择，这些患者已接受雄激素受体定向治疗和紫杉烷为基础的化疗。如果患者不适合化疗，即使没有给予紫杉烷为基础的治疗，也可以考虑使用rucaparib。
BARD1	BARD1 Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
BRIP1	BRIP1 Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
CDK12	CDK12 Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
CHEK1	CHEK1 Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
CHEK2	CHEK2 Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
FANCL	FANCL Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
RAD51B	RAD51B Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
RAD51C	RAD51C Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
RAD51D 	RAD51D Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
RAD54L	RAD54L Mutation	前列腺癌		I	治疗	奥拉帕利	敏感	NCCN前列腺癌指南提示，奥拉帕利是携带同源重组修复基因(BRCA1、BRCA2、ATM、BARD1、BRIP1、CDK12、CHEK1、CHEK2、FANCL、PALB2、RAD51B、RAD51C、RAD51D或RAD54L)突变(胚系和/或体细胞)，曾接受过雄激素受体定向治疗的转移性去势抵抗性前列腺癌（mCRPC）患者的一种治疗选择。
ERBB2	ERBB2 amplification	食道癌和胃食管交界处癌		I	治疗	Fam-Trastuzumab Deruxtecan-Nxki、曲妥珠单抗	敏感	NCCN食道癌和胃食管交界处癌指南提示，ERBB2（HER2）过表达阳性腺癌患者可使用曲妥珠单抗联合化疗治疗或fam-trastuzumab deruxtecan-nxki单药治疗。
